accept,text 
1, من با توجه به اینکه خیلی وقت هست آن را داشت باید گفت این که همیشه یک سری مضخرفات را هم سر کرد در مورد این گوشی تا حالا کار نکرد با او مطمئن بود خود یک گوشی ۲۰۰ تومن دست هست در مورد باتری تنها ضعف موقع استفاده از ۳G هست که خیلی کم آورد البته باید گفت همه گوشی این هست ولی شما یک سری استفاده عادی کرد از او مثل مثلا آهنگ داد اس‌ام‌اس داد زنگ زد استفاده از لاین و بازی معمولی قول گوش داد بیشتر از یک روز شارژ نگه داشت الان من خودم صبح تا شب با او فیلم دید و به وای فای وصل بعضی موقع باخت کرد راحت ١ روز را مگر داشت البته گفت حتما موقع خرید به باتری توجه کرد حتما باتری کره بود خود هست ترجیحا کره ولی اگر پیدا نکرد که نکرد ویتنام اگر چید بود اصلا سمت نرید چون همه آن مشکل را که گفت داشت داغ کردن هست شما خود رفت با یک پرچم دیگر real racing۳ پنج دقیقه بازی کرد دید چطور داغ کرد بعد با آس ۴ مقایسه کرد خیلیا فک کرد وقت گفت داغ کرد موقع استفاده عادی هست که اصلا این نهست همین الان که این نظر را نوشت گوشی وصله به وای فای و تو شارژ هم هست و اصلا گرم نهست ظاهر این گوشی به نظر از آس ۵ هم بهتر هست الان این که همیشه پلاستیک پلاستیک کرد آمد گفت دید مثلا جی ۲ از فولاد هست یا حتی جی ۳ از نظر دوربین باید گفت من با زد ١ دوست مقایسه کرد و واقعا بهتر بود زد ١ با اینکه صفحه با آس ۴ هم اندازس اما در ظاهر به خاطر حاشیه زیاد دور گوشی دو برابر آس ۴ از نظر سرعت باید گفت درست هست در حد پرچم ۲۰١۴ نهست ولی با هم سطح خود مثل زد ١ اچ تی سی وان و این مقایسه کرد بهتر هست این هم ک گفت مثل گوشی ۲۰١۴ نهست منظور این نهست که خیلی تفاوت داشت خیلی کم هست پیشنهاد کرد حتما وقت خرید به ۴ ۴ آب کرد از این را به آن را تا کرد سرعت در کل باید گفت به حرف هیچ کس گوش نکرد و برد با گوشی کار کرد بعد خرید شرمنده طولانی کرد چون واقعا دیگر تحمل نداشت دید همیشه حرفا مسخره مثل اینکه باتری باد کرد یا مثلا آنقدر داغ کرد قاب پشت آب کرد و زد 
1, من یک ماه که این گوشی را داشت واقعا از او راضی فقط یک مشکل داشت که آن هم اینکه وقت کرد زاد داغ کرد ولی گوشه هست 
0, s۴ همیشه هنگ خوبی کرد دوربین هست لرزش گیر نداشت موقه بازی کرد دست آتی گرفت ازبس داغ کرد من خودم گوشی خریدوفروش کرد تاحالا۲۰تاs۴اومده دست همه آن این مشکل 
0, من که اگر خواست گوشی تو این رنج قیمت خرید جی ۲ خرید که از همه نظر سر هست از این 
1, هر چقدر هم از s۴ بد گفت باز هم آن را خرید ختم جلسه 
1, من این گوشی را از او راضی فقط یکم داغ کرد که تو گوشی دیگ این مشکل وجود داشت باتری هست عالیه 
1, من حد یک ماهی سلام کرد که این گوشی را گرفت و مشکل کرد نداشت فقط در بازی سنگین پشت گرم داغ کرد که برای همه گوشی عادی هست کس هم که از این گوشی بد گفت به من ربط نداشت من همه این نظر را خواند و هم باز گرفت تا با گوشی کار نکرد نتوانست در مورد تصمیم گرفت و نظر داد در ضمن دوستان که قصد خرید این گوشی را داشت فقط گوشی را یگیرن که مونتاژ ۲۰١۴ بود با اندروید ۴ ۳ چون بهتر بهینه ساز رفت آن انجام‌شده و حداکثر هست بهره را ارائه داد این گوشی عالیه اگر کره یا ویتنام گیر آمد و مونتاژ ۲۰١۴ بود در خرید شک نکرد ممنون 
1, سلام من حدودا ۲ ماه آن را هست که این گوشی را داشت این گوشی تنها مشکل که داشت این هست که داغ کرد که آن هم با یک کیف چرید حل کرد وگرنه دیگر مشکل نداشت وبگرد آسانی کرد با او کرد الان با این گوشی نظر هست خودمو نوشت این گوشی خیلی عالیه تو خرید شک نکرد 
0, سلام اول از طرفدار هست این گوشی عذرخواهی کرد برای این کامنت تر را خدا انداخت پای عقل و وجدان خود این تنور نانوا را با G ۲ مقایسه نکرد آن خدا یک شاهکار هست وای این چه این با این C P U exynos در مقابل استپ در هیچ محسوب کرد تا۴سال آینده پرچم G۲ G۳ بالا است آن که موافق هست لطفا لایک کرد با تشکر 
1, اسلام لازم دانست چند نکته مهم را که طی تجربه ١۰ ماهه از این گوشی بدست آورد در اختیار دوستان گذارد این گوشی اصلا و ابدا مشکل باتری نداشت و تنها کس گفت باتری زاد خالی کرد که از گوشی بجا لپ تاپ و در همان حد استفاده کرد من اخیرا و بعد از دهد ماه کار کرد باتری برای تست یک که باتری از طریق اتصال به پریز محافظ برق بط ١۰۰ درصد شارژ بار کرد کشید در این مدت از بلوتوث پخش موزیک تماس تلفن اپل مختلف استفاده کرد و حتی ویژگی چشید هوشمند و quick galence هم روشن بود و این باتری بعد از ۳۸ ساعت و ۲۵ دقیقه به ١۴ درصد رسید در تست دیگه وقت ١۰۰ درصد بود همزه که کشید wifi را روشن کرد و وب گشت و آن لاین بازی کرد و بعد از ۷ ساعت و ۴۶ دقیقه به ١۶ درصد رسید نکته قابل توجه اینجا است که من در تست اول استفاده از wifi را حذف کرد و در تست دوم استفاده از wifi را به حداکثر رساند خود قضاوت کرد آیا گوشی لپ تاپ هست نکته مهتر که کم کس به آن توجه کرد این هست که حتی اگر گوشی به wifi وصل بود صرفا برای اتصال اپل ایمیل یا مثلا وای خیلی خیلی دیر باتری تمام کرد چرا ساده ست چون صفحه گوشی در طول استفاده روشن نهست بط کل دو مورد در galaxy s۴ باتری زیاد استفاده کرد ١ استفاده از wifi ۲ صفحه نمایش بسیار قدرتمند این گوشی که با انتخاب یک لپ تیره هم توانست کمی به حفظ باتری کمک کرد در مورد داغ کرد هم چون موضوع بدیهی هست و همه جواب منطق را دانست بحث نکرد یک گوشی با این دم و دستگاه خیلی حرفه و خدا است که حتی وقت هم داغ کرد هنگ و استاپ و گیر تو کار نهست خلاصه واقعا از خرید راضی ام Viva galaxy s۴ 
1, سلام من این گوشی را دو روز پیش خرید این گوشی در کنار امکان کاربرد و زیاد که داشت فقط ۳ اشکال داشت داغ کرد بدنه ضعیف خالی کرد سریع شارژ داغ کرد گوشی بسیار کم و ناچیز است و به‌راحتی می‌توان از آن چشم‌پوشی کرد بدنه ضعیف هم با خرید یک کیف یا قاب حل کرد تنها مشکل که این گوشی داشت فقط شارژ خالی کرد آن است اما در کل گوشی بسیار خوب و امکان فراوان داشت 
1, ما ک سنگین بازی مثل asphalt ۸ را با او بازی کرد بدون حتی کوچک لگ اجرا کرد 
1, با سلام آن که خواست این گوشی را خرید حتما خواند امروز یک سر آمد اینجا دید کاربر عزیز چه دشمن اب سامسونگ را s۴ را زد و چشید را گوش خیلیا که با این گوشی کار نکرد با حرف اشتباه بست من اطمینان داشت این که را s۴ عیب بی‌سر تهی را گذاشت حتی یک بارید بود کار نکرد من یک ساله این گوشی را داشت به خدا یک از این مشکل که بقیه می نداشت این ویژگی که از این گوشی گفت به خدا تعصب و تجربه یک سال استفاده هست انتقاد الکی و دروغین دیگر هست را هم باور نکرد اولا باتری مشکل نداشت و نداشت تو ١ ساعت فول کرد و استفاده عادی یک روز دوام آورد که برای یک اسم فون خیلی عالیه دوما داغ کرد برای تمام اسم فونا و همه آن که cpu طبیعی هست حتی کامپیوتر هست با وجود فن آدم داغ حس کرد چه رسید به یک گوشی هست ۸ هسته که تو یک محفظه بیست هست قرار داشت cpu پس این هم مشکل نهست همه گوشی داغ کرد بعد هست من یک ساله که داشت باتری مشکل نداشت و باد نکرد فکر کرد آن که گفت باد کرد گوشی را به ایشان انداخت از همین سایت گرفت با اطمینان تره بعد آنی که گفت تراکم پیکسل ۴۴١ با ۳۲۰ فرق نداشت برای آن یا الکی هست شمه اصلا صف هست نمایش s۴ را با s۳ مقایسه کرد با ابن تراکم پیکسل تفاوت کمی چشم داشت اما تفاوت کیفیت احساس کرد محصول سامسونگ بوی s۴ بهتریچ تاچ و کیفیت صفحه را بین گوشی داشت دوربین ١۳ پیکسل عالی و بی‌عیب و نقص که از دوربین ١۳ پیکسل هم رده خود با کیفیت تره چون امتاحان کرد توانست امت گکمنحان کرد من یک ساله که داشت سنگین بازی ریخت را هم زمان کرد نه لگ زد نه هنگ اجرا کرد خیلی روان اجرا کرد سنسور هست بیشتر کاربرد نه همیشه چرا دروغ گفت بعضی اصلاً استفاده نم هست در آخر گفت گوشی خیلی خوبی هست تو خرید شک نکرد 
1, دوستان که گفت داغ کرد باید به ایشان گفت که با هر گوشی ۸ هسته زیاد کار کرد داغ کرد و در کل گوشی ۸ هسته شارژ خوبی از این را توانست نسخه ۴ هسته این گوشی یعنی I۹۵۰۵ را تهیه کرد I۹۵۰۰ گوشی ۸ هسته بود اگر هم مشکل بدن هست راحت با یک کاور حل کرد به من الان تو بازار ایران سامسونگ حرف اولا زد نگفت اپل داد اپل هم گوشی قدرتمند نظر داشت ولی شما دروید ایران نتوانست به‌راحتی از اپل استفاده کرد در کل کارکرد هست با گوشی اندروید تو ایران خیلی راحت تره بین گوشی اندروید هم که سامسونگ اول هست 
0, ندانست چرا اینقدر گفت آن را داد ضعیفه به خدا آن را داد قوی هست در مورد آن را داد هم توضیح داد باتری برای من باد کرد که با ۹۰ تومان حل کرد حالا که s۵ آمد آن و توان کرد آن فک کرد بهتر بود خیلی زاد شارژ پیشنهاد کرد ولی به همین صورت زاد خالی کرد زورکی ۵ ساعت داشت پاور بانک باید واسش خرید من در کل خیلی از او راضی مامان s۳ نگه داشت خیلی خیلی بهتر هست s۳ هست 
1, از نظر بدنه که عالی بود برای من ١ بار صفحه از نیم متر یک بار از یک متر با کناره گوشی و یک هم خواست گوشی انداخت را مبل از فاصله ۴ متر که گوشی را به طرف مبل پرت کرد ولی با صفحه خورد تو دیوار بعد افتاد را سرامیک به خدا قسم آن را هیچ چیز نکرد جلد نداشت و برای آن نخرید اشکال باطری هست که با پاور بانک حل هست 
1, گوشی خیلی خوبی هست و مخصوصا تاچ و صفحه نمایش فقط به من تنها مشکل داغ کردن هست 
1, دوستان اگ این گوشی را نظر داشت برد ب اندروید ۴ ۴ ۲ ارتقا داد سرعت فوق‌العاده کرد 
1, سلام من این گوشی را ۲ ماه داشت خیلی گوشی هست خوبی هست از هر نظر عالی بود سرعت عالیه و اصلا هنگ نکرد فرامین را خیلی سریع انجام داد و مکس در کار نهست دوربین هم خوب هست و عکس قابل‌قبولی گرفت فیلم آن را بر داشت هم هم صفحه super AMOLEDش که واقعا عالیه و کیفیت خیلی خوبی و اما جنس بدنه مورد توجه دوستان عزیزی که گفت پلاستیک هست و مقاومت کم هست و کاش آلومینیوم بود آخر مگر خواست چه کار کرد با این گوشی هست بیچاره فوتبال که نخواست بود بازی کرد یا جای را بود قرار نهست کرد یک اسم کاور یا یک گارد ژله خرید واسش تمام هست من دوست NOTE۳ داشت یک اسم کاور داشت گوشی از دست از ارتفاع ١ ۵ متر افتاد را آسفالت هیچ چیز نکرد به آن بخشید اگر طولانی کرد به هر حال اگر خواست این گوشی را خرید شک نکرد 
1, من دبر این گوشی را خرید واقعا عالیه 
1, هیولا صفحه نمایش قدرت بالا صفحه نمایش شیک بود خوش دست اما اما اما بدنه نچندان قوی من آن را داشت عالیه 
1, به این گوشی باور آورد دریا از امکان وجود سنسور متعدد از جمله گایید شمار و دما سنج و رطوبت سنج سخت افزار بی‌نقص نسخه اندروید تقریبا به روز که قابل بروز رساند به بالا نسخه را داشت دوربین ١۳ پیکسل حرفه ای نه چندان نا امید کننده مثل Z١ قابلیت کنترل از راه دور صفحه نمایش بی‌همتا SUPER AMOLED FULL HD و دریا از امکان باطری قدرتمند که این کار سامسونگ هست در این مقطع زمان از بهتر قیمت ممکن برخوردار هست که خواست رفت برای خرید خواست نو ۸ گرفت اما این یک شاه دیگ دیگر چه خواست از این بهتر 
1, سلام من گل آس ۴ ادیشن را به رسما پیشنهاد کرد چون اصلا باتری آن نه کرد نه زاد خالی باد کرد 
1, زمستون ۹۲ برای تولد خانم خرید گوشی واقعا عالی آن را هست متاسفانه تو این مدت فقط یک بار آن هم ۲ هفته بعد از خرید از دست افتاد و شیشه شکست از فاصله ١ متر رفت آسفالت از سمت جلو و گوشه شیشه و صورت مایل را زمین خورد کاور و محافظ نداشت همه جا حد ۷۰۰ عوض کرد که یک آشنا مطمئن تو جمهوری با ۵۲۰ برای من عوض کرد جزیی نوع بر خورد را نوشت که هر کس توانست راحت با گوشی که داشت مقایسه کرد نرفت افزار و سخت افزار در حد لال آن را هست و لذت بخش کیفیت تصویر و زیبا و پویایی رنگ هم که حرف نداشت و واقعا تو تمام گوشی و حتی گوشی گران از خود عالی آن را هست خودم HTC WIDEFIRE S داشت و دروید این چند ماه دپرس روح کرد و انشالله من عوض کرد S۴ MINI گرفت آخر نخواست زیاد هزینه کرد 
1, عالیه در برابر ضربه بدون جلد 
1, سلام دوستان من بیشتر از یک سال این گوشی را داشت خیلی نسبت به ضعیف گوشی هم حساس باور کرد اگر بهتر در نوع خود نبود یک از بهتر هست گوشی که تا به با او روبرو کرد 
0, دروید بر همه دوستان گل در مورد S۴ مهم نکته که حال کرد گفت این هست که مدل ۹۵۰۰ تکنولوژی ۸ پردازنده که داشت مصرف باتری خیلی بالا به خاطر داشت و برای کس که زبیاد با بازی و اپل کار می کننده اصلا مناسب نهست و همچنین بالا رقت هست دما داخل گوشی باعث پایین به خاطر آمد کارا و کم کرد باطری مصرف کرد در کل اصلن مدل ۸ هسته را به هیچ عنوان توصیه نکرد و بهتر انتخاب من به همه دوستان Nexus ۵ یا G۲ 
0, سلام من حد ۹ ماه آس ۴ داشت اول خوب بود اما رفت رفت نظر عوض کرد چون روز دو باید اگر خواست راهه بازی کرد زد به شارژ طوری داغ کرد که نکرد از او چشم پوشید و هی هنگ کرد کلا نتوانست زیاد از او کشت خیلی هنگ آن را کرد عصب خورد کار کرد من جای شما بود به جای آس ۴ باهم قیمت z١ خرید l 
1, سلام ۹ ماهه آس ۴ کرد اما نه در حد که دوستان گفت از نظر کارا هم عالیه اندروید هم ۴ ۴ و دیگر فوق العادس تنها مشکل بدن هست 
0, گوشی هست خوبی هست تو قیمت خود ولی علی رقم باطن باید گفت توقع هار را نتوانست برآورده میل کرد و نتوانست چندان توفیق را برای سامسونگ داشت 
1, دوستان من الان ۲ هفته هست کرد فقط هم قسمت بالا صفحه نمایش ولی نه در آن حد که قابل تحمل نبود حالا ۲ دفعه صفحه نمایش قاطی تا کرد که یک در اینترنت بود و دکمه باز گشت را چند بار پشت هم سر زد که این کرد البته بعد از حارج کرد از نت و ورود دوباره دیگر مشکل ندید در مورد استفاده هنگام شارژ دوستان عزیز در مورد لوازم الکترونیک همیشه توصیه‌شده حتی‌المقدور هنگام شارژ از دستگاه استفاده نکرد حد ۵ هم هنگ کرد یک روز دوم صفحه نمایش خودبخود روشن بار کرد و تا شارژ خالی صبح کرد و بار دوم فردا شب حالت است ماند و باز شارژ خالی کرد و دیگر خدا را شکر این مشکل ندید ولی به طور کلی با توجه به پول که داد انتظار بیشتری از سخت‌افزاری نظر داشت ددوربینش خیلی خوب هست و من کاملا راضی گوشی ساخت ویتنام و ۹۵۰۰ قهوه هست و با اندروید کیت کت ۴ ۴ ۲ فابریک خرید 
0, بابا خدا راست گفت درید نم خوره هم داغ کرد هم کم مقاوم هست در ضربه من داشت زد تو شارژ بازی کرد بازی تمام کرد با گوشی بلند کرد از فاصله ۳۰ سانتی افتاد را فرش شکست 
0, به نظر من به چند دلیل عمده g۲ به s۴ ترجیح داد ١ باطری فوق‌العاده خوب نسبت به display بزرگ ۲ دوربین عالی که با دوربین کامپکت برابری کرد مخصوصا در روز ۳ قیافه متفاوت ترش به s۴ کلا سامسونگ هیچ نو آورد راجب قاب پلاستیک یکنواخت نخواست نسبت داد ۴ باطری s۴ گویا مشکل داشت من یک دوست داشت در ماه سوم باطری باد کرد و ١۵۰ هزار تومان داد و برای آن باطری خرید و app ‌های انحصاری که g۲ داشت و کلا من با او خیلی حال کرد که این کاملا شخص بود 
1, سلام دوستان تو خرید شک نکرد داغ آن را کرد به خاطره ناهماهنگی هست رام با سی پی یا آن را هست که شرکت سامسونگ با گذاشت رام ۴ ۴ مشکل و حل کرد مدل ۸ هسته با وصل کرد به اینترنت وای فای آپدیت کرد و مشکل حل کرد و مدل ۴ هسته این مشکل و نداشت و داغ نکرد و رام ۴ ۴ واسش چند وقت دیگر آمد توصیه من به شما مدل ۴ هسته ای هست 
1, آفای صمد لطفا با دلیل گفت که این گوشی به درد نخورد شما بدون دلیل گفت و کس که خواست این گوشی را خرید تو شک نیانداخت این گوشی از بهتر سخت افزار برخوردار است که آن و به یک گوشی خوب تبدیل کرد در ضمن اگر شما به نو ۳ یا آس ۵ نگاه کرد دید که اکثر نرفت افزار این دو گوشی ابتدا در آس ۴ پیاده کرد پس نکرد گف گوشی خوبی‌ لطفا منطق درباره ش بحث کرد 
1, آقا پور من تجربه کار خودم با هردو گوشی را گفت در این که دوربین جی ۲ خوب هست شک نهست ولی باید گفت ما عکس را که تو شب با هردو گوشی گرفت و مقایسه کرد واقعا کیفیت آس ۴ بهتر بود اما همان طور که گفت تو روز تقریبا یکسان بود و زیاد فرق نکرد 
1, به نظر من گوشی عالیه 
0, دوسه روز هست خرید کیفیت دوربین خیلی خوب هست ولی داغ آن را کرد و هنگ آن را کرد خیلی آزرد داد 
1, به نظر من بی‌شک یک از بهتر گوشی سامسونگ محسوب کرد عالیه حرف نداشت 
1, سلام یک هفته‌ای هست من این گوشی را آن را داشت کیفیت عالیه تنها مشکل که داشت داغ کردن هست آن هم زمان که از wi fi استفاده کرد داغ کرد فقط همین مشکل آزار دهنده هست باتری هست قوی هست من که همیشه تو نت هست با او و هم دانلود کرد خیلی خوب جواب داد 
1, خیلی گوشی خوبی هست به من خیلی بهتر از note۲ من امروز صبح این گوشی را خرید سخت افزار حرف نظر نداشت 
1, سلام بسیار گوشی عالی هست لطفا رنگ مشک را به رنگ گوشی اضافه کرد چون می S۴ مشک از طریق سایت خرید و چه بهتر از دی کالا که فروشگاه مطمئن هست با تشکر 
1, عالی 
0, در جواب آق پور عسکر باید گفت آشغال گوشی دنیاست و حتی این را دروید نقد وب پرچم ۲۰١۳ در همین سایت توانست ملاحظه کرد که فقط کاندید بهتر صفحه نمایش کرد که آن هم باز اول نکرد وبا هست گفت این گوشی پسر ناشایست سامسونگ است 
0, گوشی هست جالب گوشی هست بهتر از این هم دروید این قیمت هست 
